0.01,181.8
0.02,130.9
0.03,133.2
0.04,122.1
0.05,117.3
0.06,110.2
0.07,75.7
0.08,74.2
0.09,75.9
0.1,76.4
0.11,76.3
0.12,75.9
0.13,64.2
0.14,63.5
0.15,63.4
0.16,63.4
0.17,62.4
0.18,65.3
0.19,63.4
0.2,63.7
0.21,64.2
0.22,62.3
0.23,66.0
0.24,64.8
0.25,63.4
0.26,74.4
0.27,75.0
0.28,74.0
0.29,76.6
0.3,74.4
0.31,74.3
0.32,74.1
0.33,74.8
0.34,75.0
0.35,73.1
0.36,75.0
0.37,77.2
0.38,76.2
0.39,74.4
0.4,76.1
0.41,75.2
0.42,75.0
0.43,76.1
0.44,75.3
0.45,74.1
0.46,76.1
0.47,75.6
0.48,74.7
0.49,75.9
0.5,77.0
0.51,104.4
0.52,103.5
0.53,104.2
0.54,106.1
0.55,103.9
0.56,103.6
0.57,104.1
0.58,104.0
0.59,104.0
0.6,103.6
0.61,104.4
0.62,103.5
0.63,104.0
0.64,104.9
0.65,103.7
0.66,103.8
0.67,103.3
0.68,102.9
0.69,102.6
0.7,103.2
0.71,103.0
0.72,102.8
0.73,103.5
0.74,103.6
0.75,103.2
0.76,102.3
0.77,102.4
0.78,102.9
0.79,102.9
0.8,102.1
0.81,102.8
0.82,104.9
0.83,106.6
0.84,106.6
0.85,105.9
0.86,106.4
0.87,106.2
0.88,105.6
0.89,105.9
0.9,106.3
0.91,105.7
0.92,105.7
0.93,105.5
0.94,105.3
0.95,103.8
0.96,105.3
0.97,104.1
0.98,105.0
0.99,103.1
1.0,104.5
