0.0025,102.4
0.005,66.5
0.0075,62.2
0.01,57.2
0.0125,59.4
0.015,56.9
0.0175,57.5
0.02,55.9
0.0225,61.5
0.025,55.9
0.0275,55.6
0.03,55.6
0.0325,55.6
0.035,57.7
0.0375,55.6
0.04,55.2
0.0425,56.2
0.045,55.0
0.0475,55.6
0.05,57.1
0.0525,57.7
0.055,58.7
0.0575,57.7
0.06,57.3
0.0625,58.7
0.065,57.4
0.0675,58.5
0.07,57.3
0.0725,57.5
0.075,58.7
0.0775,58.1
0.08,57.9
0.0825,57.5
0.085,57.4
0.0875,60.0
0.09,58.1
0.0925,58.4
0.095,58.6
0.0975,58.0
0.1,58.7
0.1025,58.2
0.105,59.8
0.1075,58.1
0.11,58.9
0.1125,58.9
0.115,60.5
0.1175,58.8
0.12,59.6
0.1225,60.0
0.125,59.0
